Country_Region,Province_State,t,Incidence,est_incid
Hong Kong,Hong Kong,2020-01-22,0,NA
Hong Kong,Hong Kong,2020-01-23,0,NA
Hong Kong,Hong Kong,2020-01-24,0,NA
Hong Kong,Hong Kong,2020-01-25,3,NA
Hong Kong,Hong Kong,2020-01-26,3,NA
Hong Kong,Hong Kong,2020-01-27,0,NA
Hong Kong,Hong Kong,2020-01-28,0,NA
Hong Kong,Hong Kong,2020-01-29,2,NA
Hong Kong,Hong Kong,2020-01-30,0,NA
Hong Kong,Hong Kong,2020-01-31,2,NA
Hong Kong,Hong Kong,2020-02-01,1,NA
Hong Kong,Hong Kong,2020-02-02,2,NA
Hong Kong,Hong Kong,2020-02-04,2,NA
Hong Kong,Hong Kong,2020-02-05,4,NA
Hong Kong,Hong Kong,2020-02-06,3,NA
Hong Kong,Hong Kong,2020-02-07,1,NA
Hong Kong,Hong Kong,2020-02-08,1,NA
Hong Kong,Hong Kong,2020-02-09,3,NA
Hong Kong,Hong Kong,2020-02-10,9,NA
Hong Kong,Hong Kong,2020-02-11,11,NA
Hong Kong,Hong Kong,2020-02-12,1,NA
Hong Kong,Hong Kong,2020-02-13,3,NA
Hong Kong,Hong Kong,2020-02-14,3,NA
Hong Kong,Hong Kong,2020-02-16,1,NA
Hong Kong,Hong Kong,2020-02-17,3,NA
Hong Kong,Hong Kong,2020-02-18,2,NA
Hong Kong,Hong Kong,2020-02-19,1,NA
Hong Kong,Hong Kong,2020-02-20,5,NA
Hong Kong,Hong Kong,2020-02-21,0,NA
Hong Kong,Hong Kong,2020-02-22,1,NA
Hong Kong,Hong Kong,2020-02-23,5,NA
Hong Kong,Hong Kong,2020-02-24,5,NA
Hong Kong,Hong Kong,2020-02-25,5,NA
Macau,Macau,2020-01-22,1,NA
Macau,Macau,2020-01-23,1,NA
Macau,Macau,2020-01-24,0,NA
Macau,Macau,2020-01-25,0,NA
Macau,Macau,2020-01-26,3,NA
Macau,Macau,2020-01-27,1,NA
Macau,Macau,2020-01-28,1,NA
Macau,Macau,2020-01-29,0,NA
Macau,Macau,2020-01-30,0,NA
Macau,Macau,2020-01-31,0,NA
Macau,Macau,2020-02-02,1,NA
Macau,Macau,2020-02-04,2,NA
Macau,Macau,2020-02-06,0,NA
Macau,Macau,2020-02-12,0,NA
Macau,Macau,2020-02-13,0,NA
Macau,Macau,2020-02-16,0,NA
Macau,Macau,2020-02-20,0,NA
Macau,Macau,2020-02-25,0,NA
Mainland China,Anhui,2020-01-22,1,NA
Mainland China,Anhui,2020-01-23,8,NA
Mainland China,Anhui,2020-01-24,6,NA
Mainland China,Anhui,2020-01-25,24,NA
Mainland China,Anhui,2020-01-26,21,NA
Mainland China,Anhui,2020-01-27,10,NA
Mainland China,Anhui,2020-01-28,36,NA
Mainland China,Anhui,2020-01-29,46,NA
Mainland China,Anhui,2020-01-30,48,NA
Mainland China,Anhui,2020-01-31,37,NA
Mainland China,Anhui,2020-02-01,60,NA
Mainland China,Anhui,2020-02-02,43,NA
Mainland China,Anhui,2020-02-03,68,NA
Mainland China,Anhui,2020-02-04,72,NA
Mainland China,Anhui,2020-02-05,50,NA
Mainland China,Anhui,2020-02-06,61,NA
Mainland China,Anhui,2020-02-07,74,NA
Mainland China,Anhui,2020-02-08,68,NA
Mainland China,Anhui,2020-02-09,46,NA
Mainland China,Anhui,2020-02-10,51,NA
Mainland China,Anhui,2020-02-11,30,NA
Mainland China,Anhui,2020-02-12,29,NA
Mainland China,Anhui,2020-02-13,21,NA
Mainland China,Anhui,2020-02-14,24,NA
Mainland China,Anhui,2020-02-15,16,NA
Mainland China,Anhui,2020-02-16,12,NA
Mainland China,Anhui,2020-02-17,11,NA
Mainland China,Anhui,2020-02-18,9,NA
Mainland China,Anhui,2020-02-19,4,NA
Mainland China,Anhui,2020-02-20,1,NA
Mainland China,Anhui,2020-02-21,1,NA
Mainland China,Anhui,2020-02-22,1,NA
Mainland China,Anhui,2020-02-23,0,NA
Mainland China,Anhui,2020-02-24,0,NA
Mainland China,Anhui,2020-02-25,0,NA
Mainland China,Beijing,2020-01-22,14,NA
Mainland China,Beijing,2020-01-23,8,NA
Mainland China,Beijing,2020-01-24,14,NA
Mainland China,Beijing,2020-01-25,5,NA
Mainland China,Beijing,2020-01-26,27,NA
Mainland China,Beijing,2020-01-27,12,NA
Mainland China,Beijing,2020-01-28,11,NA
Mainland China,Beijing,2020-01-29,20,NA
Mainland China,Beijing,2020-01-30,3,NA
Mainland China,Beijing,2020-01-31,25,NA
Mainland China,Beijing,2020-02-01,29,NA
Mainland China,Beijing,2020-02-02,23,NA
