prov_state,country,date,cum_cases,cases_incid,epiweek,China_source
Anhui,Mainland China,2020-01-20,0,0,4,TRUE
Anhui,Mainland China,2020-01-21,0,0,4,TRUE
Anhui,Mainland China,2020-01-22,1,1,4,TRUE
Anhui,Mainland China,2020-01-23,9,8,4,TRUE
Anhui,Mainland China,2020-01-24,15,6,4,TRUE
Anhui,Mainland China,2020-01-25,60,45,4,TRUE
Anhui,Mainland China,2020-01-26,70,10,5,TRUE
Anhui,Mainland China,2020-01-27,106,36,5,TRUE
Anhui,Mainland China,2020-01-28,152,46,5,TRUE
Anhui,Mainland China,2020-01-29,200,48,5,TRUE
Anhui,Mainland China,2020-01-30,200,0,5,TRUE
Anhui,Mainland China,2020-01-31,237,37,5,TRUE
Anhui,Mainland China,2020-02-01,297,60,5,TRUE
Anhui,Mainland China,2020-02-02,408,111,6,TRUE
Anhui,Mainland China,2020-02-03,480,72,6,TRUE
Anhui,Mainland China,2020-02-04,530,50,6,TRUE
Anhui,Mainland China,2020-02-05,530,0,6,TRUE
Anhui,Mainland China,2020-02-06,591,61,6,TRUE
Arizona,US,2020-01-20,0,0,4,FALSE
Arizona,US,2020-01-21,0,0,4,FALSE
Arizona,US,2020-01-22,0,0,4,FALSE
Arizona,US,2020-01-23,0,0,4,FALSE
Arizona,US,2020-01-24,0,0,4,FALSE
Arizona,US,2020-01-25,0,0,4,FALSE
Arizona,US,2020-01-26,1,1,5,FALSE
Arizona,US,2020-01-27,1,0,5,FALSE
Arizona,US,2020-01-28,1,0,5,FALSE
Arizona,US,2020-01-29,1,0,5,FALSE
Arizona,US,2020-01-30,1,0,5,FALSE
Arizona,US,2020-01-31,1,0,5,FALSE
Arizona,US,2020-02-01,1,0,5,FALSE
Arizona,US,2020-02-02,1,0,6,FALSE
Arizona,US,2020-02-03,1,0,6,FALSE
Arizona,US,2020-02-04,1,0,6,FALSE
Arizona,US,2020-02-05,1,0,6,FALSE
Arizona,US,2020-02-06,1,0,6,FALSE
Beijing,Mainland China,2020-01-20,0,0,4,TRUE
Beijing,Mainland China,2020-01-21,10,10,4,TRUE
Beijing,Mainland China,2020-01-22,14,4,4,TRUE
Beijing,Mainland China,2020-01-23,22,8,4,TRUE
Beijing,Mainland China,2020-01-24,36,14,4,TRUE
Beijing,Mainland China,2020-01-25,51,15,4,TRUE
Beijing,Mainland China,2020-01-26,68,17,5,TRUE
Beijing,Mainland China,2020-01-27,80,12,5,TRUE
Beijing,Mainland China,2020-01-28,91,11,5,TRUE
Beijing,Mainland China,2020-01-29,111,20,5,TRUE
Beijing,Mainland China,2020-01-30,114,3,5,TRUE
Beijing,Mainland China,2020-01-31,139,25,5,TRUE
Beijing,Mainland China,2020-02-01,168,29,5,TRUE
Beijing,Mainland China,2020-02-02,191,23,6,TRUE
Beijing,Mainland China,2020-02-03,212,21,6,TRUE
Beijing,Mainland China,2020-02-04,228,16,6,TRUE
Beijing,Mainland China,2020-02-05,253,25,6,TRUE
Beijing,Mainland China,2020-02-06,274,21,6,TRUE
"Boston, MA",US,2020-01-20,0,0,4,FALSE
"Boston, MA",US,2020-01-21,0,0,4,FALSE
"Boston, MA",US,2020-01-22,0,0,4,FALSE
"Boston, MA",US,2020-01-23,0,0,4,FALSE
"Boston, MA",US,2020-01-24,0,0,4,FALSE
"Boston, MA",US,2020-01-25,0,0,4,FALSE
"Boston, MA",US,2020-01-26,0,0,5,FALSE
"Boston, MA",US,2020-01-27,0,0,5,FALSE
"Boston, MA",US,2020-01-28,0,0,5,FALSE
"Boston, MA",US,2020-01-29,0,0,5,FALSE
"Boston, MA",US,2020-01-30,0,0,5,FALSE
"Boston, MA",US,2020-01-31,0,0,5,FALSE
"Boston, MA",US,2020-02-01,0,0,5,FALSE
"Boston, MA",US,2020-02-02,1,1,6,FALSE
"Boston, MA",US,2020-02-03,1,0,6,FALSE
"Boston, MA",US,2020-02-04,1,0,6,FALSE
"Boston, MA",US,2020-02-05,1,0,6,FALSE
"Boston, MA",US,2020-02-06,1,0,6,FALSE
British Columbia,Canada,2020-01-20,0,0,4,FALSE
British Columbia,Canada,2020-01-21,0,0,4,FALSE
British Columbia,Canada,2020-01-22,0,0,4,FALSE
British Columbia,Canada,2020-01-23,0,0,4,FALSE
British Columbia,Canada,2020-01-24,0,0,4,FALSE
British Columbia,Canada,2020-01-25,0,0,4,FALSE
British Columbia,Canada,2020-01-26,0,0,5,FALSE
British Columbia,Canada,2020-01-27,0,0,5,FALSE
British Columbia,Canada,2020-01-28,1,1,5,FALSE
British Columbia,Canada,2020-01-29,1,0,5,FALSE
British Columbia,Canada,2020-01-30,1,0,5,FALSE
British Columbia,Canada,2020-01-31,1,0,5,FALSE
British Columbia,Canada,2020-02-01,1,0,5,FALSE
British Columbia,Canada,2020-02-02,1,0,6,FALSE
British Columbia,Canada,2020-02-03,1,0,6,FALSE
British Columbia,Canada,2020-02-04,1,0,6,FALSE
British Columbia,Canada,2020-02-05,1,0,6,FALSE
British Columbia,Canada,2020-02-06,2,1,6,FALSE
California,US,2020-01-20,0,0,4,FALSE
California,US,2020-01-21,0,0,4,FALSE
California,US,2020-01-22,0,0,4,FALSE
California,US,2020-01-23,0,0,4,FALSE
California,US,2020-01-24,0,0,4,FALSE
California,US,2020-01-25,0,0,4,FALSE
California,US,2020-01-26,2,2,5,FALSE
California,US,2020-01-27,2,0,5,FALSE
California,US,2020-01-28,2,0,5,FALSE
California,US,2020-01-29,2,0,5,FALSE
California,US,2020-01-30,2,0,5,FALSE
California,US,2020-01-31,3,1,5,FALSE
California,US,2020-02-01,3,0,5,FALSE
California,US,2020-02-02,4,1,6,FALSE
California,US,2020-02-03,4,0,6,FALSE
California,US,2020-02-04,6,2,6,FALSE
California,US,2020-02-05,6,0,6,FALSE
California,US,2020-02-06,6,0,6,FALSE
Chongqing,Mainland China,2020-01-20,0,0,4,TRUE
Chongqing,Mainland China,2020-01-21,5,5,4,TRUE
Chongqing,Mainland China,2020-01-22,6,1,4,TRUE
Chongqing,Mainland China,2020-01-23,9,3,4,TRUE
Chongqing,Mainland China,2020-01-24,27,18,4,TRUE
Chongqing,Mainland China,2020-01-25,75,48,4,TRUE
Chongqing,Mainland China,2020-01-26,110,35,5,TRUE
Chongqing,Mainland China,2020-01-27,132,22,5,TRUE
Chongqing,Mainland China,2020-01-28,147,15,5,TRUE
Chongqing,Mainland China,2020-01-29,165,18,5,TRUE
Chongqing,Mainland China,2020-01-30,182,17,5,TRUE
Chongqing,Mainland China,2020-01-31,238,56,5,TRUE
Chongqing,Mainland China,2020-02-01,247,9,5,TRUE
Chongqing,Mainland China,2020-02-02,300,53,6,TRUE
Chongqing,Mainland China,2020-02-03,337,37,6,TRUE
Chongqing,Mainland China,2020-02-04,366,29,6,TRUE
Chongqing,Mainland China,2020-02-05,376,10,6,TRUE
Chongqing,Mainland China,2020-02-06,400,24,6,TRUE
Fujian,Mainland China,2020-01-20,0,0,4,TRUE
Fujian,Mainland China,2020-01-21,0,0,4,TRUE
Fujian,Mainland China,2020-01-22,1,1,4,TRUE
Fujian,Mainland China,2020-01-23,5,4,4,TRUE
Fujian,Mainland China,2020-01-24,10,5,4,TRUE
Fujian,Mainland China,2020-01-25,18,8,4,TRUE
Fujian,Mainland China,2020-01-26,35,17,5,TRUE
Fujian,Mainland China,2020-01-27,59,24,5,TRUE
Fujian,Mainland China,2020-01-28,82,23,5,TRUE
Fujian,Mainland China,2020-01-29,101,19,5,TRUE
Fujian,Mainland China,2020-01-30,101,0,5,TRUE
Fujian,Mainland China,2020-01-31,120,19,5,TRUE
Fujian,Mainland China,2020-02-01,144,24,5,TRUE
Fujian,Mainland China,2020-02-02,159,15,6,TRUE
Fujian,Mainland China,2020-02-03,179,20,6,TRUE
Fujian,Mainland China,2020-02-04,194,15,6,TRUE
Fujian,Mainland China,2020-02-05,205,11,6,TRUE
Fujian,Mainland China,2020-02-06,215,10,6,TRUE
Gansu,Mainland China,2020-01-20,0,0,4,TRUE
Gansu,Mainland China,2020-01-21,0,0,4,TRUE
Gansu,Mainland China,2020-01-22,0,0,4,TRUE
Gansu,Mainland China,2020-01-23,2,2,4,TRUE
Gansu,Mainland China,2020-01-24,2,0,4,TRUE
Gansu,Mainland China,2020-01-25,7,5,4,TRUE
Gansu,Mainland China,2020-01-26,14,7,5,TRUE
Gansu,Mainland China,2020-01-27,19,5,5,TRUE
Gansu,Mainland China,2020-01-28,24,5,5,TRUE
Gansu,Mainland China,2020-01-29,26,2,5,TRUE
Gansu,Mainland China,2020-01-30,26,0,5,TRUE
Gansu,Mainland China,2020-01-31,35,9,5,TRUE
Gansu,Mainland China,2020-02-01,35,0,5,TRUE
Gansu,Mainland China,2020-02-02,51,16,6,TRUE
Gansu,Mainland China,2020-02-03,55,4,6,TRUE
Gansu,Mainland China,2020-02-04,57,2,6,TRUE
Gansu,Mainland China,2020-02-05,57,0,6,TRUE
Gansu,Mainland China,2020-02-06,62,5,6,TRUE
Guangdong,Mainland China,2020-01-20,0,0,4,TRUE
Guangdong,Mainland China,2020-01-21,17,17,4,TRUE
Guangdong,Mainland China,2020-01-22,26,9,4,TRUE
Guangdong,Mainland China,2020-01-23,32,6,4,TRUE
Guangdong,Mainland China,2020-01-24,53,21,4,TRUE
